,ID,Primary Type,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
218447,7451219,NARCOTICS,30.0,2010,41.85180787,-87.70208962,170313009003000,300900,3000
150274,7830551,CRIMINAL DAMAGE,71.0,2010,41.75336188,-87.64653937,170317102002013,710200,2013
178675,7563744,GAMBLING,49.0,2010,41.69544747,-87.62200091,170314909012031,490901,2031
319954,7794798,THEFT,24.0,2010,41.90316649,-87.67856638,170312423001000,242300,1000
331464,7307830,THEFT,6.0,2010,41.94108916,-87.66385109999999,170310623001025,062300,1025
369386,7828965,WEAPONS VIOLATION,69.0,2010,41.76872765,-87.6169507,170316904002002,690400,2002
313041,7557019,THEFT,8.0,2010,41.90896204,-87.63159713,170310802011002,080201,1002
246050,7843110,OFFENSE INVOLVING CHILDREN,52.0,2010,41.70762496,-87.52971351,170315201001085,520100,1085
81419,7476547,BATTERY,71.0,2010,41.73900495,-87.64491897,170317110002014,711000,2014
234355,7541803,NARCOTICS,2.0,2010,41.99650057,-87.68739974,170310209011009,020901,1009
13810,7630994,ASSAULT,57.0,2010,41.79719368,-87.73062979,170315705002003,570500,2003
281400,7568383,ROBBERY,35.0,2010,41.8254854,-87.61439945,170313511002006,351100,2006
235586,7658758,NARCOTICS,67.0,2010,41.77298787,-87.67253075,170316713003002,671300,3002
353864,7677285,THEFT,42.0,2010,41.77596635,-87.60461425,170314208002006,420800,2006
132711,7485880,CRIMINAL DAMAGE,17.0,2010,41.93889629,-87.79943262,170311710005020,171000,5020
245816,7359978,OFFENSE INVOLVING CHILDREN,46.0,2010,41.74767822,-87.55645990000001,170314603024003,460302,4003
130645,7761492,CRIMINAL DAMAGE,2.0,2010,42.00302012,-87.70008942,170310206011007,020601,1007
76444,7709865,BATTERY,1.0,2010,42.01723251,-87.67765149,170310102012037,010201,2037
138289,7370996,CRIMINAL DAMAGE,61.0,2010,41.8095032,-87.67107354,170316103003029,610300,3029
5687,7726782,ASSAULT,24.0,2010,41.909738,-87.66036908,170318423001108,842300,1108
164153,7781128,CRIMINAL TRESPASS,69.0,2010,41.75625909,-87.62471994,170316912002027,691200,2027
285922,7319781,ROBBERY,43.0,2010,41.76410602,-87.57625684,170314305001004,430500,1004
354855,7797054,THEFT,66.0,2010,41.76969622,-87.68337861,170316607002024,660700,2024
56540,7799414,BATTERY,58.0,2010,41.81281711,-87.69067552,170315806004006,580600,4006
199621,7484950,MOTOR VEHICLE THEFT,49.0,2010,41.70136196,-87.6123855,170314909021014,490902,1014
46320,7387058,BATTERY,19.0,2010,41.93177253,-87.78206488,170311904012021,190401,2021
47633,7427631,BATTERY,27.0,2010,41.88544284,-87.70234621,170318371001009,837100,1009
237064,7475349,NARCOTICS,68.0,2010,41.76437562,-87.64439125,170316814001000,681400,1000
129886,7574346,CRIMINAL DAMAGE,19.0,2010,41.928812,-87.74404056,170311909001001,190900,1001
176257,7541744,DECEPTIVE PRACTICE,69.0,2010,41.75533245,-87.63563341,170316912001017,691200,1017
249124,7538050,OTHER OFFENSE,6.0,2010,41.93633564,-87.65071012,170310630003001,063000,3001
47006,7438139,BATTERY,35.0,2010,41.84162222,-87.61756209999999,170318392001006,839200,1006
