,Year,Business Type,Business Name,Address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#OnPremises
85,2006,school,SALVATION ARMY TEMPLE HEAD START,1 N OGDEN AVE 1ST #,FALSE,FALSE,THEFT,1,0,0
86,2007,school,SALVATION ARMY TEMPLE HEAD START,1 N OGDEN AVE 1ST #,FALSE,FALSE,THEFT,1,0,0
87,2008,grocery store,SUBWAY #23340,17 S WABASH AVE,FALSE,FALSE,CRIMINAL TRESPASS,1,0,0
88,2006,grocery store,JOHNNY'S ICE HOUSE,1350 W MADISON ST 1ST,FALSE,FALSE,ASSAULT,1,0,0
89,2010,grocery store,JOHNNY'S ICE HOUSE,1350 W MADISON ST 1ST,FALSE,FALSE,BATTERY,1,1,0
90,2006,grocery store,JOHNNY'S ICE HOUSE,1350 W MADISON ST 1ST,FALSE,FALSE,HOMICIDE,1,0,0
91,2009,grocery store,VIAGGIO,1330 W MADISON ST 1ST,FALSE,FALSE,ASSAULT,1,0,0
92,2008,grocery store,VIAGGIO,1330 W MADISON ST 1ST,FALSE,FALSE,BURGLARY,1,0,0
93,2006,grocery store,VIAGGIO,1330 W MADISON ST 1ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
94,2006,grocery store,VIAGGIO,1330 W MADISON ST 1ST,FALSE,FALSE,THEFT,1,0,0
95,2006,restaurant,FOUR STARS,1164 W MADISON ST,FALSE,TRUE,NARCOTICS,1,1,0
96,2011,restaurant,FOUR STARS,1164 W MADISON ST,FALSE,TRUE,WEAPONS VIOLATION,1,0,0
97,2007,grocery store,PLUSH-CHICAGO,1104 W MADISON ST 1 #,FALSE,FALSE,CRIMINAL DAMAGE,1,1,0
98,2010,grocery store,LLOYD'S CHICAGO RESTAURANT,1 S WACKER DR,FALSE,FALSE,BATTERY,1,1,0
99,2002,grocery store,JAY LOBBY SHOP,1 N FRANKLIN ST 1ST,FALSE,FALSE,BATTERY,1,0,0
100,2012,grocery store,STARBUCKS COFFEE #221,400 W MADISON ST  TWO N,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
101,2002,restaurant,THE TOWER CLUB,20 N WACKER DR,FALSE,TRUE,BURGLARY,1,0,0
102,2006,restaurant,THE TOWER CLUB,20 N WACKER DR,FALSE,TRUE,ROBBERY,1,0,0
103,2002,grocery store,EL CHE BAR,845 W WASHINGTON BLVD,FALSE,FALSE,MOTOR VEHICLE THEFT,1,0,0
104,2003,grocery store,CVS/PHARMACY #2934,208 W WASHINGTON ST,FALSE,FALSE,BURGLARY,1,0,0
105,2013,grocery store,CVS/PHARMACY #2934,208 W WASHINGTON ST,FALSE,FALSE,CRIMINAL TRESPASS,1,1,0
106,2003,grocery store,CVS/PHARMACY #2934,208 W WASHINGTON ST,FALSE,FALSE,THEFT,1,0,0
107,2006,grocery store,LIFESTYLES TUCK SHOP,127 N DEARBORN ST  LOBBY,FALSE,FALSE,ASSAULT,1,0,0
108,2015,grocery store,THE DEARBORN,145 N DEARBORN ST 1ST,FALSE,FALSE,DECEPTIVE PRACTICE,1,0,0
109,2006,restaurant,RED KIVA,1106-1108 W RANDOLPH ST 1ST,FALSE,TRUE,BATTERY,1,0,0
110,2011,restaurant,RED KIVA,1106-1108 W RANDOLPH ST 1ST,FALSE,TRUE,BATTERY,1,0,0
111,2004,restaurant,RED KIVA,1106-1108 W RANDOLPH ST 1ST,FALSE,TRUE,OTHER OFFENSE,1,0,0
112,2003,grocery store,GEORGE TSILIMIGRAS,844 W RANDOLPH ST 1ST,FALSE,FALSE,PUBLIC PEACE VIOLATION,1,1,0
113,2012,grocery store,MRS FIELDS COOKIES #541,32 E RANDOLPH ST,FALSE,FALSE,BURGLARY,1,0,0
114,2015,grocery store,DUNKIN DONUTS & BASKIN ROBBINS,200 E RANDOLPH ST LL16,FALSE,FALSE,BATTERY,1,0,0
115,2002,grocery store,DUNKIN DONUTS & BASKIN ROBBINS,200 E RANDOLPH ST LL16,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
116,2009,grocery store,DUNKIN DONUTS & BASKIN ROBBINS,200 E RANDOLPH ST LL16,FALSE,FALSE,THEFT,1,0,0
117,2009,grocery store,ASADA,180 N WELLS ST,FALSE,FALSE,THEFT,1,0,0
118,2013,grocery store,WALGREENS # 09001,191 N CLARK ST,FALSE,FALSE,THEFT,1,0,0
119,2004,grocery store,RIZES PRODUCE,201 N ELIZABETH ST 1ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
120,2016,grocery store,GRANT PARK PACKING CO.,842 W LAKE ST 1ST,FALSE,FALSE,BATTERY,1,0,0
121,2013,grocery store,GRANT PARK PACKING CO.,842 W LAKE ST 1ST,FALSE,FALSE,WEAPONS VIOLATION,1,1,0
122,2004,grocery store,KARAD CONVENIENCE,333 W WACKER DR 1ST,FALSE,FALSE,CRIMINAL DAMAGE,1,0,0
