,ID,Primary Type,Arrest,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
3266794,2003286,PROSTITUTION,True,,2002,41.780103716999996,-87.67634040000002,170316705001053,670500,1053
1040896,3522660,BATTERY,True,67.0,2004,41.780387906,-87.66424206,170316707002014,670700,2014
5436779,6016376,CRIMINAL DAMAGE,False,43.0,2007,41.769265808,-87.578839179,170314302002002,430200,2002
504596,10956539,NARCOTICS,True,42.0,2017,41.783116362,-87.615694257,170314206001013,420600,1013
1116026,3979716,CRIMINAL DAMAGE,False,27.0,2005,41.871729836,-87.71853707,170312705001040,270500,1040
2890715,9297665,THEFT,False,32.0,2013,41.879079395,-87.62434142299999,170313204001015,320400,1015
5560122,6286566,BATTERY,False,32.0,2008,41.878567628,-87.627688599,170318391001091,839100,1091
4225668,3417050,THEFT,True,23.0,2004,41.905844191999996,-87.72639826700001,170312307003009,230700,3009
5683013,6537753,NARCOTICS,True,42.0,2008,41.77681465,-87.602503918,170314208001007,420800,1007
2575750,8799329,THEFT,False,1.0,2012,42.018498254,-87.672983233,170310102021001,010202,1001
3370548,2177866,WEAPONS VIOLATION,True,23.0,2002,41.910760759,-87.706777414,170312302001023,230200,1023
3137419,9789279,DECEPTIVE PRACTICE,False,77.0,2014,41.995126463000005,-87.661706899,170310302001011,030200,1011
5198904,5511417,BATTERY,False,46.0,2007,41.749462207,-87.55770635100001,170314603022006,460302,2006
388813,10716937,THEFT,True,32.0,2016,41.88171846,-87.62776042600001,170313204001010,320400,1010
395369,10728435,THEFT,False,15.0,2016,41.958848867,-87.751304635,170311502005014,150200,5014
3980345,11109698,DECEPTIVE PRACTICE,False,2.0,2016,41.998257179,-87.68990200399999,170310206022011,020602,2011
3353458,2149895,DECEPTIVE PRACTICE,False,8.0,2002,41.900775515,-87.626595615,170310812013000,081201,3000
3344608,2135478,NARCOTICS,True,35.0,2002,41.82971866,-87.62659621700001,170313514001005,351400,1005
1161537,7870722,CRIMINAL DAMAGE,False,77.0,2011,41.976814727,-87.659880317,170310308004000,030800,4000
615810,11138004,THEFT,False,3.0,2017,41.969522047,-87.66105662700001,170310311002002,031100,2002
4194390,3367330,BURGLARY,False,23.0,2004,41.908528821,-87.716755029,170312308001005,230800,1005
1369257,8584390,CRIMINAL DAMAGE,False,61.0,2012,41.796881939,-87.648554031,170316121001026,612100,1026
4506805,3950027,CRIMINAL TRESPASS,True,46.0,2005,41.744647338,-87.552238463,170314601004012,460100,4012
4699748,4208857,BATTERY,False,2.0,2005,41.983953323,-87.69068235,170310208011014,020801,1014
176261,10327085,DECEPTIVE PRACTICE,False,33.0,2015,41.854770868,-87.63014895299999,170313302001000,330200,1000
2013138,7549839,CRIMINAL TRESPASS,True,8.0,2010,41.89193719,-87.628074015,170310815002014,081500,2014
815923,2473630,THEFT,False,28.0,2002,41.878478014,-87.657036174,170318331002003,833100,2003
3564281,2494181,MOTOR VEHICLE THEFT,True,22.0,2002,41.914173986,-87.710197635,170312227002010,222700,2010
5272705,5672432,OTHER OFFENSE,False,2.0,2007,41.989273789,-87.692059719,170310208014007,020801,4007
2660752,8932443,DECEPTIVE PRACTICE,False,25.0,2012,41.879043079,-87.745225096,170312522024003,252202,4003
5183160,5472775,BURGLARY,False,16.0,2007,41.94316025,-87.727966889,170311613002004,161300,2004
4329964,3588998,THEFT,False,24.0,2004,41.897062551,-87.672208219,170312422002015,242200,2015
3543064,2459236,MOTOR VEHICLE THEFT,False,25.0,2002,41.886179786,-87.75528090600001,170312519002010,251900,2010
4551436,4066442,ASSAULT,False,29.0,2005,41.85554228,-87.71510953399999,170312922002013,292200,2013
3766009,10804194,BATTERY,False,69.0,2017,41.756070901,-87.618264271,170316913001021,691300,1021
5667316,6507696,DECEPTIVE PRACTICE,False,22.0,2008,41.921442128,-87.69496976299999,170312214002006,221400,2006
1307271,4717378,NARCOTICS,True,16.0,2006,41.953552346,-87.7357763,170311611001001,161100,1001
326547,10604400,BATTERY,False,34.0,2016,41.850931351,-87.63504697100001,170318411004012,841100,4012
2669821,8946367,NARCOTICS,True,29.0,2012,41.867323587,-87.70203245799999,170318386001011,838600,1011
3018842,9571588,NARCOTICS,True,27.0,2014,41.871777275999996,-87.714086615,170312715001009,271500,1009
1422207,8667784,SEX OFFENSE,False,75.0,2012,41.691788999,-87.67971859,170317505001002,750500,1002
3094335,9719062,BATTERY,False,52.0,2014,41.713224067,-87.538891739,170315202003036,520200,3036
210150,10388827,OTHER OFFENSE,True,20.0,2016,41.914186079000004,-87.72525009200001,170318312001006,831200,1006
5225712,5576985,BATTERY,True,60.0,2007,41.833808955,-87.652255653,170318397003005,839700,3005
329499,10609471,OTHER OFFENSE,False,52.0,2016,41.700443293,-87.534072634,170315204003017,520400,3017
3085162,9704163,THEFT,False,57.0,2014,41.81979891,-87.72397572,170315701001013,570100,1013
1814942,6955817,CRIMINAL DAMAGE,False,70.0,2009,41.739980733,-87.704560039,170317004023016,700402,3016
3956819,3026076,NARCOTICS,True,26.0,2003,41.879689165,-87.731680241,170312606001003,260600,1003
344904,10639853,ASSAULT,False,35.0,2016,41.831061814,-87.621459125,170318395001011,839500,1011
3523983,2427757,THEFT,True,68.0,2002,41.779806409,-87.641131698,170316809004008,680900,4008
4953064,4920533,THEFT,False,31.0,2006,41.856737655,-87.67683039100001,170313109003006,310900,3006
1180562,7904850,NARCOTICS,True,76.0,2011,41.953900467,-87.90747260100001,170319800001089,980000,1089
4745395,4506147,CRIMINAL TRESPASS,True,5.0,2005,41.933358963,-87.67961379200001,170310514002008,051400,2008
3232412,9968772,OTHER OFFENSE,True,61.0,2015,41.802484826,-87.646099399,170316110001038,611000,1038
5455033,6058341,NARCOTICS,True,24.0,2008,41.899321068,-87.693033966,170312426003001,242600,3001
1787554,1642,HOMICIDE,False,29.0,2002,41.858989606,-87.713681395,170312922001005,292200,1005
725427,2126893,NARCOTICS,True,29.0,2002,41.86712577,-87.721253929,170318430002029,843000,2029
41243,10077602,THEFT,False,6.0,2015,41.945453334,-87.647723655,170310618001002,061800,1002
2711947,9013054,ASSAULT,False,1.0,2013,41.998371665,-87.660569111,170310104003015,010400,3015
