"1333 W Flournoy St, Chicago Illinois 60607",CRIMINAL TRESPASS,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",DECEPTIVE PRACTICE,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",GAMBLING,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",HOMICIDE,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",HUMAN TRAFFICKING,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",INTERFERENCE WITH PUBLIC OFFICER,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",INTIMIDATION,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",KIDNAPPING,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",LIQUOR LAW VIOLATION,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",MOTOR VEHICLE THEFT,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",NARCOTICS,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",NON - CRIMINAL,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",NON-CRIMINAL,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",OBSCENITY,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",OFFENSE INVOLVING CHILDREN,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",OTHER NARCOTIC VIOLATION,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",OTHER OFFENSE,K Nearest Neighbour,0.6
"1333 W Flournoy St, Chicago Illinois 60607",PROSTITUTION,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",PUBLIC INDECENCY,K Nearest Neighbour,0.0
"1333 W Flournoy St, Chicago Illinois 60607",PUBLIC PEACE VIOLATION,K Nearest Neighbour,0.0
