Restaurant Name,Address,Failed inspection on,Alive for x years
JERSEY MIKE'S SUBS,26 E ROOSEVELT RD FL,02/06/2013,1.4794520547945205
EUREST DINING SERVICES,50 S LA SALLE ST,08/05/2016,2.7945205479452055
EUREST DINING SERVICES,801 S CANAL ST,07/05/2016,1.6876712328767123
1250 SOUTH LLC,1250 S MICHIGAN AVE,07/11/2013,2.1452054794520548
GEPADE CAFFE,60 E ADAMS ST,08/24/2015,2.6
DOMINO'S PIZZA,1234 S CANAL ST,05/19/2016,0.5013698630136987
"BLOCK 37 CTA DONUTS INC.,",108 N STATE ST,08/01/2017,3.9753424657534246
K-KITCHEN,201 N CLARK ST,10/08/2013,2.0136986301369864
PARLOR PIZZA BAR,108 N GREEN ST,06/13/2017,3.1616438356164385
PARLOR PIZZA BAR,108 N GREEN ST,06/17/2014,3.164383561643836
TAPWORKS,820 W JACKSON BLVD,01/22/2018,1.3068493150684932
JERSEY MIKES,26 E ROOSEVELT RD FL,09/15/2014,0.673972602739726
AU BON PAIN,829 S WABASH ST,02/28/2017,1.063013698630137
GOOD STUFF EATERY,22 S WABASH AVE,10/23/2015,2.0054794520547947
KINGSBAKER CAFE,900 W VAN BUREN ST,03/12/2015,1.9945205479452055
HIDEOUT INN,35 E RIVERWALK SOUTH,08/13/2015,0.8657534246575342
FIREFIN POKE SHOP,10 S LA SALLE ST,05/25/2017,0.8767123287671232
THAI SPOON AND SUSHI,601 S WABASH AVE,05/09/2017,0.21095890410958903
ROSEBUD IN & OUT,1 S DEARBORN ST,12/23/2016,1.2
PARKSHORE MARKET LTD,195 N HARBOR DR,05/08/2013,0.7643835616438356
UNIVERSITY CLUB OF CHICAGO,76 E MONROE ST,11/21/2017,0.12054794520547946
LEONA'S PIZZERIA,1419 W TAYLOR ST,03/05/2014,0.7534246575342466
MAIN DINING,65 W JACKSON BLVD,06/02/2017,0.8575342465753425
METROPOLITAN CLUB,233 S WACKER DR,07/19/2011,5.926027397260274
WENDY'S OLD FASHIONED HAMBURGERS,6 S CLARK ST,06/24/2015,0.043835616438356165
NINE,440 W RANDOLPH ST,10/30/2012,1.4958904109589042
THE CHICAGO FIREHOUSE REST.,1401 S MICHIGAN AVE,05/03/2012,4.69041095890411
