Date,Mean Temperature,Max Temperature,Min Temperature,Heating Degree Days, Dew Point, Average Humidity, Max Humidity, Minimum Humidity, Precipitation, Sea Level Pressure, Average Wind Speed, Maximum Wind Speed, Visibility, Events
2001-03-18,34,44,23,32,21,65,92,35,0,30.46,N/A,8,10,
2001-03-19,36,46,25,30,23,63,92,35,0,30.4,N/A,10,10,
2001-03-20,38,48,28,27,25,62,89,39,0,30.26,N/A,12,10,
2001-03-21,40,51,30,24,26,62,89,31,0,30.15,N/A,14,9,
2001-03-22,42,55,30,22,33,70,100,40,0,30.08,N/A,15,6,
2001-03-23,42,50,33,24,31,70,87,43,0,30.05,N/A,21,8,
2001-03-24,28,33,21,37,13,53,69,42,0,30.18,N/A,22,10,
2001-03-25,22,24,19,44,9,61,86,38,0,30.22,N/A,22,8,Snow
2001-03-26,24,32,16,41,11,54,74,40,0,30.25,N/A,13,10,
2001-03-27,31,37,25,34,19,62,81,44,0,30.3,N/A,12,10,
2001-03-28,34,48,21,30,22,57,85,30,0.01,30.12,N/A,13,10,Rain
2001-03-29,40,46,35,24,32,80,93,54,0.01,30.02,N/A,13,6,Rain
2001-03-30,42,50,34,23,32,70,93,44,0,29.95,N/A,14,7,
2001-03-31,46,55,36,19,36,79,93,49,0.07,29.78,N/A,23,6,Rain
2001-04-01,39,48,30,26,24,59,82,37,0,29.86,N/A,21,10,
2001-04-02,45,60,30,20,27,54,75,35,0,29.97,N/A,17,10,
2001-04-03,40,45,35,25,32,78,89,60,0,30.16,N/A,18,9,
2001-04-04,42,52,32,24,31,65,92,41,0,30.34,N/A,14,8,
2001-04-05,48,60,36,18,38,67,100,35,0.04,30.07,N/A,13,8,Rain Thunderstorm
2001-04-06,53,62,44,12,53,94,100,86,0.18,29.86,N/A,13,3,Fog Rain Thunderstorm
2001-04-07,63,82,44,2,49,67,100,20,0,29.64,N/A,29,6,
2001-04-08,61,77,45,4,42,56,82,31,0,29.82,N/A,16,10,
2001-04-09,50,59,44,14,43,82,93,59,0.24,29.83,N/A,22,10,Rain Thunderstorm
2001-04-10,48,51,44,18,43,88,96,80,0,29.91,N/A,14,6,
2001-04-11,62,77,48,4,56,88,100,60,0.53,29.67,N/A,23,6,Rain Thunderstorm
2001-04-12,57,66,46,8,41,63,74,50,0,29.64,N/A,31,10,
2001-04-13,49,59,39,16,36,65,85,41,0,30.08,N/A,12,10,
2001-04-14,52,64,39,14,35,56,96,25,0.01,30,N/A,15,10,Rain
2001-04-15,49,54,45,16,40,71,93,45,0.19,29.9,N/A,23,10,Rain
2001-04-16,36,42,28,30,25,73,100,47,0.02,30.04,N/A,25,7,Snow
2001-04-17,37,46,28,28,24,66,96,34,0,30.25,N/A,24,8,Snow
2001-04-18,41,55,28,24,24,55,88,28,0,30.24,N/A,14,10,
2001-04-19,50,68,35,14,31,44,73,28,0,30.01,N/A,17,10,
2001-04-20,64,77,51,1,53,74,96,48,0.18,29.82,N/A,25,9,Rain
2001-04-21,72,82,59,0,60,78,100,42,0.32,29.84,N/A,28,8,Rain Thunderstorm
2001-04-22,64,78,51,0,55,79,97,57,0.09,30.08,N/A,16,9,Rain
2001-04-23,58,72,44,8,52,73,94,53,0.57,29.77,N/A,26,9,Rain Thunderstorm
2001-04-24,51,61,42,14,32,53,81,28,0,30.16,N/A,18,10,Rain
2001-04-25,52,60,44,13,38,60,74,46,0,30.24,N/A,14,10,Rain
2001-04-26,60,75,46,4,43,51,71,33,0,30.09,N/A,20,10,
2001-04-27,54,63,44,12,33,44,74,27,0,30.2,N/A,17,10,
2001-04-28,53,64,42,12,35,51,76,35,0,30.38,N/A,13,10,
2001-04-29,60,75,46,4,35,39,71,26,0,30.35,N/A,13,10,
2001-04-30,66,84,50,0,45,43,73,31,0.04,30.11,N/A,14,10,Rain Thunderstorm
2001-05-01,72,82,62,0,53,50,75,34,0,29.89,N/A,24,10,
2001-05-02,72,81,64,0,53,50,65,38,0,29.93,N/A,16,10,
2001-05-03,72,86,57,0,52,48,84,31,0,30.08,N/A,16,10,
2001-05-04,54,60,48,12,47,78,93,69,0.01,30.19,N/A,16,10,Rain
2001-05-05,56,66,48,9,46,68,89,42,0,30.16,N/A,17,10,
2001-05-06,65,75,55,0,49,63,97,39,0.18,30.05,N/A,25,9,Rain Thunderstorm
2001-05-07,60,66,55,4,56,80,96,46,0.11,30.05,N/A,17,8,Rain
2001-05-08,62,75,48,4,45,55,83,34,0,30.13,N/A,24,10,
2001-05-09,67,80,54,0,46,49,80,28,0,30.07,N/A,16,10,
2001-05-10,69,81,57,0,55,64,94,38,0.23,29.91,N/A,17,9,Rain Thunderstorm
2001-05-11,54,64,44,11,53,90,100,71,0.49,29.97,N/A,22,8,Rain Thunderstorm
