name,address,rating_y
Signature Segway Tours,310 S Michigan ,3.0
Quicksilver Floor,200 W Madison ,5.0
Qdoba Mexican Grill,328 N Michigan ,2.5
Kriser's - For Your Pet's All-Natural Life,1103 S ,4.035714285714286
Sapan Ahuja Photography,,5.0
Thai Spoon,601 S Wabash ,2.833333333333333
Jay Pritzker Pavilion,201 E Randolph ,4.6875
Market Creations,20 N Wacker ,3.333333333333333
Mac Kelly's Greens & Things,216 W Jackson ,3.5
"Eli Lawrence, DDS",25 E Washington ,5.0
Epic Burger,517 S ,3.5354330708661417
Spa Anjou,724 S Dearborn ,3.333333333333333
Smile Dental Center of Chicago PC,25 E Washington ,3.0
Ara On,160 W Adams ,3.7692307692307687
H.bloom,,1.0
"Henri Cartier-Bresson Exhibit, at the Art Institute of Chicago",111 S Michigan ,4.0
Steve's Segway Tours,350 E Monroe ,3.1666666666666665
"Elizabeth A Davis, DC, LAc",333 N Michigan ,5.0
"Nicas Yiannias, DDS",25 E Washington ,5.0
Chicago Remembers Vietnam Memorial,W Wacker ,5.0
"Joanie Tarsitano, DDS",55 E Washington ,5.0
System Parking,111 E Wacker ,1.0
Lauren Michael Hair Design Studio,55 E Washington ,5.0
"Ganz Hall, Roosevelt University",430 S. Michigan ,5.0
XSport Fitness,819 South ,3.2222222222222223
Lith Cafe,186 N Wells ,3.0
Naf Naf Grill,309 W Washington ,4.4
Ricobene's,222 N Wells ,2.75
McCormick-Tribune Ice Skating Rink,Millennium Park 55 N Michigan ,3.8
La Rosetta,70 W Madison ,3.5
Motion Unlimited Dancewear,218 S Wabash ,4.0
Ken Krantz,Ameriprise Financial Advisors 227 W Monroe ,4.5
American Cancer Society,225 N Michigan ,4.5
Kensington Research & Recovery,100 W Monroe ,5.0
Fish Port,15 W Jackson ,3.0
U Haul,1333 S Wabash ,1.0
Swissotel Chicago,323 E Wacker ,3.5517241379310347
Ullman Julian B MD,30 N Michigan ,5.0
John Allan's,111 W Jackson ,5.0
Lust,7 Deadly Sins Circle ,5.0
Morningstar Inc,22 W Washington ,5.0
Mama Falco Pizza,125 S. Clark ,4.0
Jos. A. Bank Clothiers,25 E Washington ,3.0
Rudy's Bar & Grille,69 E Madison ,3.421052631578948
Jewel-Osco,1224 S Wabash ,2.0476190476190474
Chase Plaza,10 S La Salle ,5.0
Freshii,311 S Wacker ,3.0384615384615383
Caffe Baci,225 W Wacker ,2.833333333333333
Michael Osborne,201 W Lake ,5.0
The Roosevelt Collection,150 W Roosevelt ,3.0
Avenue the,231 S ,1.0
Howie's,1310 S Wabash ,2.0
Department of Revenue,121 N LaSalle ,1.4
Occupy Chicago,La Salle Jackson Congress Michigan ,5.0
Bank of America,233 S Wacker ,1.0
Cr̻pe Bistro,186 N Wells ,3.3720930232558137
"McDermott R A Jr, MD",111 N Wabash ,5.0
Dreamgirls Musical,Cadillac Theatre 151 W Randolph ,5.0
CMYE: Play & A Pint @ Goodman Theatre,Goodman Theatre 170 N Dearborn ,4.333333333333333
LifeStart Fitness Center,77 W Wacker ,4.0
Lot Polish Airlines,333 N Michigan ,4.0
Reckless Records,26 E Madison ,3.7142857142857135
Firestone Tire & Service Centers,1550 S Wabash ,2.25
Henry Hampton Florist,1335 S ,5.0
Friends of Rod Blagojevich,221 N La Salle ,1.0
City of Chicago Parking Meter Operations,City Hall 121 N LaSalle ,1.0
Hannah's Bretzel,233 N Michigan ,3.918367346938776
Cibo Matto,201 N ,3.4838709677419355
Sbarro,100 W Randolph ,4.0
Fingerprinting AAA Services,18 W Jackson ,3.0
Pizano's Pizza,61 E Madison ,3.493333333333333
Performers Music,410 S Michigan ,5.0
M Lounge,1520 S Wabash ,4.045454545454546
Subway,300 N Michigan ,1.5
North Center Farmer's Market,North Center Town Square Belle ,3.6666666666666665
iPet Chicago,,5.0
Chicago Smiles,227 W Monroe ,5.0
Trademonster,230 W Monroe ,2.0
Quest Diagnostics Inc,111 N Wabash ,5.0
Hostelling International Chicago,24 E Congress Pkwy ,3.6666666666666665
Township Cleaners,1530 S. ,5.0
At&t Authorized Dealer,5 S Lasalle ,5.0
Roly Poly Sandwiches,29 S LaSalle ,3.333333333333333
Jack Schwartz Importer,141 W Jackson ,3.0
Park Grill,11 N Michigan ,3.1728395061728394
Maxim's Restaurant,20 N Clark ,2.5
Johnny Rockets,177 N ,2.4166666666666665
"Eric Construction, Inc.",,3.0
Harold Washington Library Center,400 S ,4.236363636363636
Chicago Wellness Center,141 W Jackson ,5.0
Ted Lauder - State Farm Insurance Agent,10 S Riverside ,5.0
Pedersen Room,Civic Opera House 20 N Wacker ,3.5
Cupcake Counter,229 W Madison ,3.5
Quincy Loop CTA,220 S. Wells ,5.0
FedEx Office Print & Ship Center,101 N Wacker ,2.0
Tokyo Lunch Boxes & Catering,60 E Jackson ,3.5294117647058822
I Do Photo Booths,,5.0
Sears Roebuck and Co,2 N ,3.3529411764705883
Union Station,225 S Canal ,3.261904761904762
Burlington Coat Factory,1 N ,5.0
Crumbs Bake Shop,42 S Clark ,3.1428571428571432
Mayor Rahm Emanuel,City Hall 121 N LaSalle ,1.5
Pret A Manger,1 S ,5.0
Mid-America Club,200 E Randolph ,2.4285714285714284
Wabash Cleaners,808 S Wabash ,5.0
Anchor Behavioral Centers,79 W Monroe ,5.0
Weather Mark Tavern,1503 S Michigan ,3.1666666666666665
Ehrlooms,67 E Madison ,5.0
Charlotte Russe,10 S ,3.625
Books In The City,545 S ,3.5
Gerson H Kaplan MD Sc,111 N Wabash ,1.0
Windy City Massage,323 E Wacker ,5.0
H & M,22 N ,3.466666666666667
Sprint,180 N Lasalle ,1.875
Wall Street Deli,228 W. Wabash ,5.0
Potbelly Sandwich Works,209 S LaSalle ,3.6666666666666665
The Art Institute of Chicago,111 S Michigan ,4.680473372781066
Urban Re-Mix,1468 S Michigan ,5.0
Digital People,10 S Wacker ,2.0
Rise 'n Roll Amish Market,42 S Clark ,4.5555555555555545
"Neill T. Peters, MD",200 S Michigan ,4.0
Dunkin' Donuts,215 W Lake ,5.0
Pittsfield Cafe,55 E Washington ,4.0
Sears Optical,2 N ,3.0
Osaka Express,400 S Michigan ,3.733333333333333
Au Bon Pain,161 N Clark ,2.333333333333333
Inc Museum Tower Cleaners,1331 S Prairie ,4.0
Taco Fresco,151 E Randolph ,2.6666666666666665
Oodles Of Noodles,29 E Adams ,2.5
The Berghoff Restaurant,17 W Adams ,3.397058823529412
Lakeshore Chiropractic and Rehabilitation Center,180 N Michigan ,5.0
Rugzoom Synthetic Grass and Landscaping,1446 S Michigan ,5.0
Cosi,230 W Monroe ,3.625
Ann Taylor Loft,111 W Monroe ,4.0
Greenbaum & Leavitt,79 W Monroe ,5.0
Corner Bakery Cafe,200 N La Salle ,1.8333333333333333
Robert Daniels Florist Inc,40 W Lake ,5.0
Loop Dermatology & Acne Care Center,111 N Wabash ,5.0
LensCrafters,225 North Michigan ,3.0
Guitar Chicago,150 N Michigan ,5.0
For Eyes Optical,9 West Madison ,2.0
The Green at Grant Park,352 E Monroe ,3.6875
Ronny's Original Steakhouse,340 S Wabash ,2.6666666666666665
Jamba Juice,190 W Madison ,4.0
Barbara's Bookstore,111 N ,4.0
Open House Chicago,224 South Michigan ,5.0
Burrito Beach,210 S Canal ,2.0
Metropolitan Veterinary Center,1556 S Michigan ,5.0
Kramer's Health Foods,230 S Wabash ,3.696969696969697
Taub Eye Center,104 S Michigan ,5.0
Bella Bacino's,75 E Wacker ,3.3809523809523814
Gene Siskel Film Center,164 N ,4.4324324324324325
BB's,22 E Hubbard ,4.0
Lyn C Conniff,111 W Washington ,5.0
Pin Me Up,111 N Wabash ,4.0
St Peter's Church,110 W Madison ,4.5
Buen Apetito,French Market 131 N Clinton ,3.5
Randolph Flower Shop,2444 W 16th ,5.0
Emerald Loop,216 N Wabash ,3.2777777777777777
Jenny Scanlon,Millennium Counseling Center 65 E Wacker ,5.0
Make Up First,100 N LaSalle ,5.0
RedBox,1224 S Wabash Inside Jewel Osco ,4.0
SkyMaids,2650 W Belden ,1.0
Trattoria Caterina,616 S Dearborn ,2.421052631578948
Beef and Brandy,127 S ,3.25
Uncle Abe's Deli,122 S Franklin ,4.0
Blackbird,619 W Randolph ,3.9558823529411766
Women's Business Development Center,8 S Michigan ,3.0
Sopraffina Marketcaffe,10 N Dearborn ,3.7647058823529416
Wyndham Blake Chicago,500 S Dearborn ,3.2307692307692313
Peter Alving,Pacor Mortgage 401 S LaSalle ,5.0
Argo Tea,1 S Franklin ,3.6666666666666665
Mid-City Valet Parking Service,75 W Harrison ,1.0
Mezcalina,333 E Benton ,3.0
Phoenix Lounge,201 N.,3.0
Flaco's Tacos,725 S Dearborn ,3.49
Chicago Yelp Charity Date Auction,,5.0
Men's Wearhouse   ,112 S ,3.2857142857142856
U.B. Dogs,185 N Franklin ,4.461538461538462
Sabon,108 N ,4.0
M. Martin & Co Jewelers,5 S Wabash ,5.0
Cystic Fibrosis Foundation,150 N Michigan ,5.0
"Belke Carolyn, DDS",55 E Washington ,2.333333333333333
National-Louis University,122 S. Michigan ,1.0
Hot Woks Cool Sushi,312 W Adams ,3.5454545454545454
Giordano's Pizzeria,310 W Randolph ,3.0
Bodega N.5,638 S Michigan ,4.666666666666667
Eleven City Diner,1112 S Wabash ,3.267676767676768
Brasserie By LM,800 S Michigan ,4.0
CMYE: Yelp Night @ Lobby Lounge,Showplace Icon Theater 150 W. Roosevelt Rd ,5.0
120 North LaSalle Street Parking Garage,121 N Wells ,4.0
Vantage Yacht Club,233 S Wacker ,4.5
231 Cafe,231 S La Salle ,2.5
Mayor Richard M Daley,121 N LaSalle ,1.0
Yelp ̩s D'or Elite Event at Mercat a la Planxa,638 S Michigan ,4.85
Johnny Rockets,30 N. LaSalle ,4.0
Renaissance Blackstone Chicago Hotel,636 S Michigan ,4.65
Mr Submarine,47 N Wells ,3.5882352941176467
Kovitz Shifrin Nesbit,33 N Dearborn ,5.0
The Steve Dahl Show,WJMK 104.3 FM 180 N ,2.333333333333333
Palmer House Conference Center 7,17 E Monroe ,5.0
Jimmy John's,200 E Randolph ,2.25
Chicago Passport Agency,230 S Dearborn ,3.7142857142857135
Pavilion Restaurant,720 S Michigan ,1.0
Palm Restaurant,323 E Wacker ,3.333333333333333
Godiva Chocolatier,108 N ,3.8
The Rookery Building,209 S LaSalle ,5.0
Shreck - Broadway Show,151 W Randolph ,5.0
Image Nails,203 W Lake ,2.875
Harbor Medical Group,111 N Wabash ,4.0
Whiteman Adam B Atty,55 W Monroe ,5.0
Faycurr's Urban Kitchen & Cafe,100 S Wacker ,3.0
Dirty Dancing the Musical,Cadillac Palace 151 W. Randolph ,5.0
"David Palmer, MD",111 N Wabash ,1.0
South Shore Commuter Rail Services,151 E Randolph ,3.6666666666666665
Chicago Beer Festival,210 S Canal ,4.0
Cosi,33 N Dearborn ,2.8181818181818183
Set Sail Chicago,25 E Washington ,5.0
Traficanti & Assoc,125 S Wacker ,1.0
South Loop Dental Specialists,850 S Wabash ,5.0
Contempo Casuals,7 N ,3.0
Jason's Deli,195 N Dearborn ,4.4444444444444455
World Kitchen,Gallery 37 Center for the Arts 66 E Randolph ,4.0
City Fresh Market,131 N Clinton ,4.0
Smoothy's Shack,210 S Canal ,2.0
A Cut Above,233 S Wacker ,4.0
Overflow Coffee Bar,1550 S ,4.0
Grillers,77 W Jackson ,4.0
"Staci Sikora, DDS",141 W Jackson ,5.0
LA Fitness,55 East Randolph ,2.333333333333333
Alonti Cafe,401 S Lasalle ,3.0
MDA Chicago City Apartments,63 E Lake ,1.0
Printers Row Wine Shop,719 S Dearborn ,4.538461538461538
"Irmgard K Koehler, MD",30 N Michigan ,4.2
Local Charm,Block 37 108 N ,4.5
Spa Space,161 N Canal ,3.388888888888889
Schatz Berger,161 N Clark ,5.0
Chicago Latino Film Festival,600 S Michigan ,4.666666666666667
Finkls Deli,400 S Financial ,2.5
DQ Luxury Reflexology Massage & Relaxation Retreat,910 S Michigan ,3.6666666666666665
Mrs Fields,32 E Randolph ,4.222222222222221
New Office Temps,105 W Madison ,4.0
Arby's,20 E Jackson ,1.5
Simply Thalia,108 N ,2.523809523809524
Moonstruck Chocolate Cafe,320 N Michigan ,4.416666666666667
I & M  Watch Repair & Jeweler,1 N Wabash ,5.0
Potter's Lounge,17 E Monroe ,3.0769230769230766
The Family Institute @ Northwestern University,8 S Michigan ,5.0
CA Jewelers,9 S Wabash ,4.428571428571429
Dunkin' Donuts,205 W Randolph ,3.5
Dunkin Donut,406 S Michigan ,4.0
Michael H. Wasserman,221 N La Salle ,5.0
