Inspection ID,DBA Name,AKA Name,License #,Address,City,State,Zip,Inspection Date,Inspection Type,Results
1345517,BODEGA TO GO,BODEGA TO GO,2283951,201 N CLARK ,CHICAGO,IL,60601,09/05/2013,License Re-Inspection,Pass
1324657,CHICAGO EATS AND TREATS,CHICAGO EATS AND TREATS,2089432,233 S WACKER ,CHICAGO,IL,60606,09/05/2013,Canvass,Pass
1115004,TAMARIND,TAMARIND,1619390,614 S WABASH ,CHICAGO,IL,60605,09/05/2013,Canvass Re-Inspection,Pass
1345516,"POTBELLY SANDWICH WORKS, LLC",POTBELLY,1592160,111 E WACKER ,CHICAGO,IL,60601,09/05/2013,Canvass,Pass
1115003,THE STANDARD CLUB,THE STANDARD CLUB,27947,320 S ,CHICAGO,IL,60604,09/05/2013,Canvass Re-Inspection,Pass
1324656,ARGO TEA CAFE,ARGO TEA CAFE,1985331,233 S WACKER ,CHICAGO,IL,60606,09/05/2013,Canvass,Pass
1345515,CATCH THIRTY FIVE,CATCH THIRTY FIVE,19903,35 W WACKER ,CHICAGO,IL,60601,09/05/2013,Short Form Complaint,Pass
1324655,DUNKIN DONUTS,DUNKIN DONUTS,2020846,205 W Randolph ,CHICAGO,IL,60606,09/05/2013,Canvass,Pass
1115002,SUBWAY SANDWICH,SUBWAY SANDWICH,1948632,630 S CLARK ,CHICAGO,IL,60605,09/05/2013,Canvass Re-Inspection,Pass w/ Conditions
1115001,FRESHII,FRESHII,2283610,111 W JACKSON ,CHICAGO,IL,60604,09/04/2013,License,Pass
1345514,BODEGA TO GO,BODEGA TO GO,2283951,201 N CLARK ,CHICAGO,IL,60601,09/05/2013,License,Fail
1345511,"BLOCK 37 CTA DONUTS INC.,",DUNKIN DONUTS,2284168,108 N ,CHICAGO,IL,60602,09/04/2013,License,Fail
1115000,BURNHAM PARK YACHT CLUB,BURNHAM PARK YACHT CLUB,28891,1500 S LYNN WHITE ,CHICAGO,IL,60605,09/04/2013,Canvass,Pass w/ Conditions
1360681,GRACIE'S CAFE,GRACIE'S CAFE,2283871,1517-1521 W WARREN ,CHICAGO,IL,60607,09/04/2013,License,Pass
1345510,STARBUCKS COFFEE #209,STARBUCKS COFFEE #209,23013,225 N MICHIGAN ,CHICAGO,IL,60601,09/04/2013,Canvass,Pass
1345509,SOPRAFFINA MARKET CAFE,SOPRAFFINA MARKET CAFE,1224221,111 E WACKER ,CHICAGO,IL,60601,09/04/2013,Canvass,Pass
1345508,"COURTWAY RESTAURANT, L.L.C.","COURTWAY RESTAURANT, L.L.C.",1959818,29 S LA SALLE ,CHICAGO,IL,60603,09/04/2013,Short Form Complaint,Pass
1345507,CATCH THIRTY FIVE,CATCH THIRTY FIVE,19903,35 W WACKER ,CHICAGO,IL,60601,09/03/2013,Canvass,Pass
1324649,THE WORKS OFF VAN BUREN,THE WORKS OFF VAN BUREN,2084743,335 S FRANKLIN ,CHICAGO,IL,60606,09/03/2013,Canvass Re-Inspection,Pass
1324648,"LA COCINA MEXICAN GRILL, LLC",LA COCINA MEXICAN GRILL,1926507,178 N FRANKLIN ,CHICAGO,IL,60606,09/03/2013,Canvass,Pass
1345506,STARBUCKS COFFEE #232,STARBUCKS COFFEE #232,23041,35 E WACKER ,CHICAGO,IL,60601,09/03/2013,Canvass,Pass
1324647,7-ELEVEN,7-ELEVEN,2232736,177 N WELLS ,CHICAGO,IL,60606,09/03/2013,License,Pass
1324646,7-ELEVEN,7-ELEVEN,2232735,177 N WELLS ,CHICAGO,IL,60606,09/03/2013,License,Pass
1345505,CAFFECAFE,CAFFECAFE,1717240,1 E WACKER ,CHICAGO,IL,60601,09/03/2013,Canvass,Pass
1345504,HALSTED STREET DELI,HALSTED STREET DELI,2064453,222 N LA SALLE ,CHICAGO,IL,60601,09/03/2013,Canvass,Pass
1360661,ARAMARK-SOLDIER FIELD,ARAMARK-SOLDIER FIELD,2262538,1410 S MUSEUM CAMPUS ,CHICAGO,IL,60605,08/29/2013,Short Form Complaint,Pass w/ Conditions
1114999,TOPPERS PIZZA,TOPPERS PIZZA,2192646,727 S ,CHICAGO,IL,60605,08/29/2013,Canvass,Fail
1324645,TAZA,TAZA,1647924,176 N FRANKLIN ,CHICAGO,IL,60606,08/29/2013,Canvass,Pass
1345501,THE ART INSTITUTE OF CHICAGO,THE ART INSTITUTE OF CHICAGO,1092789,164 N ,CHICAGO,IL,60601,08/29/2013,Canvass,Pass w/ Conditions
1114998,TAMARIND,TAMARIND,1619390,614 S WABASH ,CHICAGO,IL,60605,08/29/2013,Canvass,Fail
1345500,GARRETT'S POPCORN SHOPS,GARRETT'S POPCORN SHOPS,1681011,26 W RANDOLPH ,CHICAGO,IL,60601,08/29/2013,Canvass,Pass
1360595,DRAGONFLY MANDARIN,DRAGONFLY MANDARIN,1520526,832 W RANDOLPH ,CHICAGO,IL,60607,08/29/2013,Canvass,Pass
1345498,ABN AMRO SVCS - MAIN BANK,VAULT CAFETERIA,20464,135 S LA SALLE ,CHICAGO,IL,60603,08/29/2013,Canvass,Pass w/ Conditions
1345499,MRS. FIELDS COOKIES,MRS. FIELDS COOKIES,1772150,32 E RANDOLPH ,CHICAGO,IL,60601,08/29/2013,Canvass,Pass
1114997,MARKET CREATIONS,MARKET CREATIONS,1914291,219 S DEARBORN ,CHICAGO,IL,60604,08/29/2013,Canvass,Pass
1360642,ARAMARK-SOLDIER FIELD,ARAMARK-SOLDIER FIELD,2262538,1410 S MUSEUM CAMPUS ,CHICAGO,IL,60605,08/29/2013,Canvass,Fail
1360565,GOLDEN THAI,GOLDEN THAI,1847167,1509 W TAYLOR ,CHICAGO,IL,60607,08/28/2013,Canvass,Pass
1115092,THE WIT,STATE & LAKE,1915447,201 N ,CHICAGO,IL,60601,08/28/2013,Canvass,Pass
1114995,THE CLIFF DWELLERS,THE CLIFF DWELLERS,29162,200 S MICHIGAN ,CHICAGO,IL,60604,08/28/2013,Canvass,Pass
1345497,THE WIT,CIBO,1915457,201 N ,CHICAGO,IL,60601,08/28/2013,Canvass,Pass
1345496,THE WIT,ROOF,2142351,201 N ,CHICAGO,IL,60601,08/28/2013,Canvass,Pass
1114994,EXCHEQUER RESTAURANT,EXCHEQUER RESTAURANT,1732,224-226 S WABASH ,CHICAGO,IL,60604,08/28/2013,Canvass Re-Inspection,Pass
1114993,ELEVEN CITY DINER,ELEVEN CITY DINER,1546717,1112 S WABASH ,CHICAGO,IL,60605,08/28/2013,Complaint,Pass
1345494,CHEF PETROS RESTAURANT & BAKER,CHEF PETROS RESTAURANT & BAKER,34039,160 N LA SALLE ,CHICAGO,IL,60601,08/28/2013,Canvass,Pass
1114992,FLO & SANTO,FLO & SANTO,2013854,1310 S WABASH ,CHICAGO,IL,60605,08/27/2013,Short Form Complaint,Pass
1345493,CORNER BAKERY CAFE,CORNER BAKERY CAFE,1649360,188 W WASHINGTON ,CHICAGO,IL,60602,08/27/2013,Canvass,Pass
1114991,EXCHEQUER RESTAURANT,EXCHEQUER RESTAURANT,1732,224-226 S WABASH ,CHICAGO,IL,60604,08/27/2013,Canvass,Pass w/ Conditions
1345492,THE GRILLROOM,THE GRILLROOM,80814,33 W MONROE ,CHICAGO,IL,60603,08/27/2013,Canvass Re-Inspection,Pass
1365245,JIMMY JOHN'S- STATE,JIMMY JOHN'S- STATE,1716955,725 S ,CHICAGO,IL,60605,08/26/2013,Canvass,Pass
1345491,FRESHII,FRESHII,2083360,161 N CLARK ,CHICAGO,IL,60601,08/27/2013,Canvass,Pass
1114990,SUBWAY SANDWICH,SUBWAY SANDWICH,1948632,630 S CLARK ,CHICAGO,IL,60605,08/27/2013,Canvass,Fail
1345490,STARBUCKS COFFEE #2230,STARBUCKS COFFEE #2230,23087,68 E MADISON ,CHICAGO,IL,60602,08/26/2013,Canvass,Pass w/ Conditions
1114989,ZAPATISTA,ZAPATISTA,1592999,1307 S WABASH ,CHICAGO,IL,60605,08/26/2013,Complaint Re-Inspection,Pass
1174570,JIMMY JOHN'S - TAYLOR,JIMMY JOHN'S - TAYLOR,1916363,1133 W TAYLOR ,CHICAGO,IL,60607,08/26/2013,Complaint,Pass
1345489,HALO ASIAN MIX,HALO ASIAN MIX,2079974,29 E ADAMS ,CHICAGO,IL,60603,08/26/2013,Complaint,Pass w/ Conditions
1174569,Ichiban Sushi Cafe,Ichiban Sushi Cafe,1980781,1422 W Taylor ,CHICAGO,IL,60607,08/26/2013,Canvass,Pass
1114988,THE STANDARD CLUB,THE STANDARD CLUB,27947,320 S ,CHICAGO,IL,60604,08/26/2013,Canvass,Fail
1324635,BABA'S VILLAGE,BABA'S VILLAGE,1816538,310 S CANAL ,CHICAGO,IL,60606,08/26/2013,Canvass,Pass
1345488,SUBWAY #45927,SUBWAY #45927,1959838,233 N MICHIGAN ,CHICAGO,IL,60601,08/26/2013,Canvass,Pass
1324634,TRI STAR CATERING,TRI STAR CATERING,46598,150 S WACKER ,CHICAGO,IL,60606,08/26/2013,Canvass,Pass
1345486,COSI,COSI,40,233 N MICHIGAN ,CHICAGO,IL,60601,08/26/2013,Complaint,Pass
1360454,THE CENTERED CHEF,THE CENTERED CHEF,2113313,177 N ADA ,CHICAGO,IL,60607,08/22/2013,Canvass,Pass
1324633,THE WORKS OFF VAN BUREN,THE WORKS OFF VAN BUREN,2084743,335 S FRANKLIN ,CHICAGO,IL,60606,08/23/2013,Canvass,Fail
1324632,ROTI MEDITERRANEAN GRILL,ROTI MEDITERRAREAN GRILL,1985041,310 W ADAMS ,CHICAGO,IL,60606,08/23/2013,Short Form Complaint,Pass
1324631,ROSIE'S CAFE & CATERING,ROSIE'S CAFE & CATERING,1578111,111 N CANAL ,CHICAGO,IL,60606,08/23/2013,Canvass,Pass
1360464,Maude's,Maude's Liquor Bar,2042072,840 W RANDOLPH ,CHICAGO,IL,60607,08/22/2013,Canvass,Pass
1345485,I DREAM OF FALAFEL,I DREAM OF FALAFEL,2032398,112 W MONROE ,CHICAGO,IL,60603,08/22/2013,Canvass,Pass
1345484,AMERICA'S DOG,AMERICA'S DOG,1903311,21 E ADAMS ,CHICAGO,IL,60603,08/22/2013,Canvass,Pass
1324628,PAZZO'S CUCINA ITALIANA,PAZZO'S CUCINA ITALIANA,2183837,101 N WACKER ,CHICAGO,IL,60606,08/22/2013,Canvass,Pass
1345483,XANDO COFFEE & BAR / COSI SANDWICH BAR,XANDO COFFEE & BAR / COSI SANDWICH BAR,9,116 S MICHIGAN ,CHICAGO,IL,60603,08/22/2013,Canvass,Pass
1324627,STARBUCKS COFFEE #203,STARBUCKS COFFEE #203,23023,150 N WACKER ,CHICAGO,IL,60606,08/22/2013,Canvass,Pass
1345482,"COURTWAY RESTAURANT, L.L.C.","COURTWAY RESTAURANT, L.L.C.",1959818,29 S LA SALLE ,CHICAGO,IL,60603,08/22/2013,Canvass Re-Inspection,Pass
1360432,WHITE PALACE GRILL,WHITE PALACE GRILL,1096426,1159 S CANAL ,CHICAGO,IL,60607,08/21/2013,Complaint,Pass w/ Conditions
1360430,1250 SOUTH LLC,CRAVE CAFE & LOUNGE,2263873,1250 S MICHIGAN ,CHICAGO,IL,60605,08/21/2013,License Re-Inspection,Pass
